,Topic,Count,Name
0,-1,57800,-1_books literature_literature_content type personal_media
1,0,1433,0_theater review_theater coronavirus_theater quarantine_theater quarantine life
2,1,1358,1_anatomy scene movies_movies review_life movies_review love
3,2,1232,2_russian invasion_invasion ukraine_russian invasion ukraine_ukraine defense military
4,3,1012,3_marriages_weddings engagements love_engagements love_engagements marriages
5,4,977,4_puzzles crossword puzzles_crossword puzzles crossword_say crossword puzzles_crossword puzzle tournament
6,5,899,5_abortion_supreme court decision_roe wade_wade supreme court
7,6,755,6_open tennis_states open tennis_australian open tennis_tennis united states
8,7,699,7_palestinians_israeli settlements_palestinians united states_palestinians united
9,8,695,8_books literature_books literature writing_literature writing_literature new paperback
10,9,670,9_masks coronavirus_masks coronavirus ncov_coronavirus ncov masks_mask mandates
11,10,593,10_impeachment inquiry_whistleblower complaint impeachment_complaint impeachment inquiry_impeachment inquiry impeachment
12,11,582,11_television movies tv_tv week_television tv week_movies tv thursday
13,12,536,12_vaccination immunization coronavirus_immunization coronavirus_immunization coronavirus ncov_ncov vaccination
14,13,535,13_ballet_dancing review_choreographer_city ballet
15,14,510,14_white house coronavirus_house coronavirus_coronavirus outbreak_coronavirus ncov presidential
16,15,510,15_matthew_weddings engagements emily_engagements lauren_weddings engagements lauren
17,16,501,16_wildfires_wildfires fires_wildfires fires firefighters_california wildfires
18,17,501,17_epidemics_coronavirus ncov epidemics_ncov epidemics_china coronavirus
19,18,470,18_obituaries actors actresses_deaths obituaries actors_obituaries actors_comedy humor television
20,19,457,19_basketball playoff_basketball playoff games_nba_nba championship
21,20,431,20_brexit_eu brexit_withdrawal eu brexit_britain withdrawal
22,21,413,21_gun control_firearms_mass shootings_control mass shootings
23,22,408,22_soccer uefa_champions league soccer_uefa champions league_uefa champions
24,23,403,23_poetry poets_literature poetry poets_poetry poets poem_poets books
25,24,398,24_joe biden_biden presidential election_presidential election_biden presidential
26,25,381,25_voter fraud_election fraud_fraud election_voter fraud election
27,26,373,26_bee forum spelling_forum spelling bee_spelling bee_spelling
28,27,369,27_yankees_baseball playoff_baseball playoff games_baseball world
29,28,354,28_health insurance_insurance managed care_managed care_health insurance managed
30,29,330,29_elections senate_georgia senate_georgia elections_government georgia
31,30,330,30_coronavirus omicron variant_coronavirus omicron_variant coronavirus_omicron variant coronavirus
32,31,326,31_classical music_classical music review_music classical_music classical music
33,32,318,32_states economy unemployment_unemployment claims_layoffs job reductions_unemployment insurance unemployment
34,33,313,33_teachers school employees_coronavirus reopenings education_education coronavirus_coronavirus reopenings
35,34,302,34_holocaust_holocaust nazi era_holocaust nazi_concentration camps
36,35,301,35_affirmative action_black colleges_historically black colleges_black colleges universities
37,36,301,36_storming_us capitol_us capitol jan_storming us capitol
38,37,296,37_opioids_opiates_opioids opiates_drug abuse traffic
39,38,294,38_supreme court_federal courts us_judiciary_courts judiciary
40,39,290,39_masters golf_masters golf tournament_golf masters_golf masters golf
41,40,288,40_murders_forensic_forensic science_murders homicides
42,41,282,41_fashion week_fashion week yourfeedfashion_new york fashion_york fashion week
43,42,280,42_pop rock music_rock music_pop rock_songs pop rock
44,43,275,43_rap_rap hiphop pop_music rap hiphop_music rap
45,44,274,44_restaurants_restaurants coronavirus_restaurants coronavirus ncov_restaurants shutdowns institutional
46,45,271,45_campaign finance_election campaign finance_presidential election campaign_election political advertising
47,46,267,46_airlines_airlines airplanes_flight attendants_airlines airplanes coronavirus
48,47,264,47_russian interference_trump associates_ties trump associates_russian interference us
49,48,263,48_petroleum_petroleum gasoline_oil petroleum gasoline_oil petroleum
50,49,260,49_spaceflight_international space station_spacex_nasa
51,50,259,50_misconduct shootings_police brutality misconduct_brutality misconduct shootings_brutality misconduct
52,51,254,51_comic_comic books_comic books strips_comic book
53,52,252,52_city marathon_york city marathon_boston marathon_marathon new york
54,53,247,53_obituaries pop rock_deaths obituaries pop_deaths obituaries jazz_obituaries jazz
55,54,233,54_oil petroleum_oil petroleum gasoline_russian oil_russian gas
56,55,231,55_basketball championships_ncaa basketball_ncaa basketball championships_basketball championships men
57,56,229,56_inflation economics_economics_states economy interest_rates inflation economics
58,57,226,57_consumer price index_economy inflation economics_economics prices_economics consumer price
59,58,224,58_wines_wines grapes_wines content type_wines content
60,59,221,59_flowers plants_gardens gardening flowers_gardening flowers plants_residential gardens
61,60,215,60_streaming_downloads streaming_netflix_television video recordings
62,61,212,61_cuomo_andrew cuomo_governors us_sexual harassment cuomo
63,62,212,62_election united states_presidential election united_trump presidential election_government presidential election
64,63,211,63_tiktok_mobile applications_tiktok social media_tiktok social
65,64,206,64_birds_birdwatching_bird_birds animal
66,65,204,65_debates political_election debates political_election debates_presidential election debates
67,66,203,66_diet_nutrition_obesity_weekly health quiz
68,67,202,67_ncov coronavirus briefing_today coronavirus ncov_coronavirus briefing_ncov coronavirus
69,68,201,68_virtual currency_cryptocurrency_virtual currency bitcoin_currency bitcoin currency
70,69,201,69_embargoes sanctions_ukraine embargoes_ukraine embargoes sanctions_invasion ukraine embargoes
71,70,200,70_infrastructure_infrastructure public works_infrastructure bill_infrastructure plan
72,71,200,71_evictions_evictions renting leasing_evictions landlords_tenants
73,72,200,72_awards oscars_academy awards oscars_movies academy awards_oscars movies
74,73,195,73_actors actresses_actors actresses content_actresses content type_actors actresses movies
75,74,195,74_literature children_books literature children_literature children childhood_children childhood genrebookschildrens
76,75,195,75_tests medical coronavirus_medical coronavirus_medical coronavirus ncov_coronavirus ncov tests
77,76,194,76_biden_ncov biden_coronavirus ncov biden_presidential election coronavirus
78,77,194,77_vaccine mandate_mandate_vaccination_vaccination immunization
79,78,191,78_derek chauvin trial_day derek chauvin_police brutality misconduct_brutality misconduct shootings
80,79,189,79_hybrid vehicles_electric hybrid vehicles_electric hybrid_automobiles electric
81,80,187,80_hockey_ice stanley cup_hockey ice playoff_ice playoff
82,81,183,81_universities coronavirus_colleges universities coronavirus_universities coronavirus ncov_coronavirus ncov colleges
83,82,183,82_fashion week_2020 paris fashion_paris fashion week_spring 2020 paris
84,83,183,83_christmas_christmas trees_christmas tree_culture christmas
85,84,182,84_federal budget us_budget us_federal budget_american rescue plan
86,85,181,85_assassinations_assassinations attempted assassinations_poisons assassinations attempted_poisoning poisons assassinations
87,86,179,86_transgender transsexuals_bisexuality transgender transsexuals_homosexuality bisexuality transgender_transgender rights
88,87,176,87_national convention_republican national convention_democratic national convention_convention presidential election
89,88,175,88_targeted killings_iran_iranian_targeted killings united
90,89,174,89_word quiz_ornery word day_obtrusive word_ostentatious word day
91,90,174,90_exercise_exercise health clubs_exercise health_exercise muscles
92,91,174,91_asian americans_anti asian_asianamericans hate_asianamericans hate crimes
93,92,173,92_musk_elon_elon musk_twitter
94,93,173,93_olympic games coronavirus_games coronavirus_games coronavirus ncov_coronavirus ncov olympic
95,94,172,94_evening briefing wednesday_strategy forum wednesday_dc strategy_dc strategy forum
96,95,172,95_cannabis foods products_marijuana law legislation_foods products marijuana_marijuana cannabis
97,96,171,96_baseball coronavirus_baseball coronavirus ncov_coronavirus ncov baseball_baseball stadiums
98,97,169,97_coronavirus ncov parenting_parenting coronavirus_parenting coronavirus ncov_children childhood parenting
99,98,169,98_antisemitism_judaism antisemitism_jews judaism antisemitism_anti semitic
100,99,168,99_evangelical movement_ministers protestant_baptist churches_evangelicals
101,100,167,100_cabs_services livery cabs_livery cabs_car services
102,101,165,101_boxing_boxer_conor mcgregor_boxing content
103,102,165,102_india_india coronavirus_india covid_vaccination immunization india
104,103,164,103_georgia covid case_county georgia covid_georgia covid_county georgia
105,104,163,104_thursday briefing thursday_briefing thursday briefing_briefing thursday_thursday briefing
106,105,162,105_telecommuting_workplace environment_workplace environment coronavirus_environment coronavirus
107,106,162,106_tiny love_tiny love stories_love stories_emotion modern love
108,107,162,107_stimulus economic_stimulus economic coronavirus_economic coronavirus_stimulus deal
109,108,162,108_opera review_opera opera_opera classical music_music opera
110,109,162,109_heat heat waves_weather heat_weather heat heat_heat wave
111,110,161,110_ncov nursing homes_coronavirus ncov nursing_ncov nursing_nursing homes elderly
112,111,159,111_antitrust_antitrust laws_antitrust laws competition_laws competition issues
113,112,159,112_briefing tuesday briefing_tuesday briefing tuesday_briefing tuesday_briefing
114,113,159,113_vaccination immunization united_immunization united states_ncov vaccination immunization_vaccination immunization biden
115,114,158,114_safety disasters_accidents safety disasters_aviation accidents safety_aviation accidents
116,115,157,115_monuments memorials structures_memorials structures_monuments memorials_monuments
117,116,156,116_myanmar_detat attempted coups_attempted coups_rohingya
118,117,156,117_fires firefighters_bronx_bronx apartment_bronx fire
119,118,156,118_love emotion_emotion dating relationships_emotion marriages_love emotion marriages
120,119,155,119_kamala harris_presidential election vice_harris presidential election_kamala harris presidential
121,120,154,120_vaccine_clinical trials vaccination_immunization coronavirus ncov_immunization coronavirus
122,121,153,121_make playoffs week_playoffs week_playoff games calculators_playoff games football
123,122,150,122_california coronavirus_coronavirus ncov california_ncov california_internalessential california
124,123,150,123_today coronavirus briefing_happened today coronavirus_today coronavirus_coronavirus briefing happened
125,124,149,124_reading writing_writing skills education_writing skills_reading writing skills
126,125,148,125_hurricanes tropical storms_hurricanes tropical_hurricane laura_tropical storms hurricane
127,126,147,126_word quiz_quiz perfervid word_quiz scintilla word_quiz recondite word
128,127,147,127_caucuses presidential election_iowa caucuses_iowa presidential_iowa presidential election
